UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y,FID
53985573,222,8700,רעננה,מכללה - לעיצוב דיגיטלי,,13,5370,188703.522227,676343.086994,0,,188703.522227,676343.086994,5180
53988044,222,154,תל מונד,גן ילדים - גן הדרור,Gan HaDror Kindergarten,13,5305,192896.282027,684087.638394,0,,192896.282027,684087.638394,5181
53988076,222,497,טייבה (בעמק),גן ילדים,Kindergarten,13,5305,242037.201127,723157.183294,0,,242037.201127,723157.183294,5182
53986997,222,6900,כפר סבא,"בית ספר - ממ""ד חב""ד",,13,5312,190892.585727,677105.191694,0,,190892.585727,677105.191694,5183
53987001,222,1309,אלעד,גן ילדים - כלנית,Kallanit Kindergarten,13,5305,195391.148127,661467.354594,0,,195391.148127,661467.354594,5184
53987009,222,6200,בת ים,גן ילדים - מעיין,,13,5305,176748.277627,657160.754794,0,,176748.277627,657160.754794,5185
53985208,222,1063,מעלות-תרשיחא,גן ילדים - פרפר,Parpar Kindergarten,13,5305,225006.163527,767928.562394,0,,225006.163527,767928.562394,5186
53985445,222,2530,באר יעקב,גן ילדים - גן בכפר,,13,5305,184912.539527,650227.649394,0,,184912.539527,650227.649394,5187
54017649,222,1139,כרמיאל,גן ילדים - יודפת,,13,5305,228225.764027,757566.095794,0,,228225.764027,757566.095794,5188
53994995,222,9700,הוד השרון,גן ילדים - גן שיטה,Gan Shitta Kindergarten,13,5305,189868.936627,673774.932494,0,,189868.936627,673774.932494,5189
53994999,222,7300,נצרת,בית ספר - טרה סנטה,,13,5330,228240.444827,734204.945794,0,,228240.444827,734204.945794,5190
53995011,222,466,בית דגן,גן ילדים - דרור,Dror Kindergarten,13,5305,183998.734627,656392.015394,0,,183998.734627,656392.015394,5191
53992302,222,8600,רמת גן,גן ילדים - ברודית,,13,5305,183182.673127,666810.541494,0,,183182.673127,666810.541494,5192
53992308,222,6600,חולון,"גן ילדים - מ""מ חינוך מיוחד גרנית",,13,5305,178110.134427,658557.558594,0,,178110.134427,658557.558594,5193
53992309,222,154,תל מונד,גן ילדים,Kindergarten,13,5305,192588.686427,684677.444794,0,,192588.686427,684677.444794,5194
53992312,222,7900,פתח תקווה,"גן ילדים - קל""ד מ",,13,5305,190745.991827,664776.715394,0,,190745.991827,664776.715394,5195
54020325,222,1139,כרמיאל,גן ילדים - גן עובדיה,,13,5305,226606.483827,756435.692794,0,,226606.483827,756435.692794,5196
53985577,222,6900,כפר סבא,גן ילדים - בדולח,,13,5305,191473.389627,675328.994494,0,,191473.389627,675328.994494,5197
54017781,222,6600,חולון,גן ילדים - תבור,,13,5305,179510.775527,657979.690094,0,,179510.775527,657979.690094,5198
54017782,222,8700,רעננה,גן ילדים - אלומות,,13,5305,187711.324027,677242.181894,0,,187711.324027,677242.181894,5199
